death
31345
31871
32517
33192
33574
33810
33961
34656
35277
36036
36615
37101
37376
37800
38496
39050
39817
40497
40976
41211
41702
42157
42762
43387
44019
44361
44594
44940
45454
45925
46475
46932
47349
47564
47630
48037
48457
48824
49380
49680
49936
50151
50496
51582
52082
52435
52599
52835
53146
53449
53728
54108
54495
54771
54858
54950
55259
55515
55776
56122
56281
56421
56521
56644
56882
57133
57313
57343
57404
57662
57843
58067
58375
58605
58795
58948
59030
59128
59274
59411
59614
59667
59720
59799
59887
59993
60129
60286
60384
60452
60495
60547
60717
60808
60922
60994
61038
61045
61122
61193
61309
61401
61445
61479
61500
61526
61587
61672
61768
61866
61939
61967
62029
62070
62154
62220
62280
62314
62334
62365
62472
62573
62633
62656
62690
62699
62727
62765
62817
62862
62911
62933
62945
