,0
0,33383.2
1,35421.4
2,34157.4
3,34078.4
4,34078.4
5,34078.4
6,34078.4
7,34078.4
8,34078.4
9,34078.4
10,34078.4
11,34078.4
12,34078.4
13,38273.3
14,43779.6
15,39505.7
16,38534.0
17,41670.3
18,38004.7
19,39245.0
20,49262.2
21,44917.2
22,38771.0
23,38123.2
24,38541.9
25,42736.8
26,39782.2
27,47461.0
28,40019.2
29,37688.7
30,42807.9
31,57723.1
32,40540.6
33,38534.0
34,39624.2
35,35413.5
36,40935.6
37,41441.2
38,35413.5
39,39181.8
40,33138.3
41,38328.6
42,46386.6
43,44917.2
44,38771.0
45,38123.2
46,39181.8
47,39292.4
48,35405.6
49,38415.5
50,35405.6
51,48796.1
52,33825.6
53,45486.0
54,60195.8
55,33825.6
56,42736.8
57,38265.4
58,48772.4
59,45249.0
60,33162.0
61,39181.8
62,35413.5
63,34078.4
64,45486.0
65,49222.7
66,48985.7
67,33367.4
68,37902.0
69,38186.4
70,42736.8
71,41536.0
72,41227.9
73,37886.2
74,38502.4
75,38115.3
76,42736.8
77,38265.4
78,38328.6
79,41670.3
80,44838.2
81,55274.1
82,49538.7
83,33367.4
84,42736.8
85,39782.2
86,33233.1
87,34078.4
88,34078.4
89,34078.4
90,34078.4
91,34078.4
92,34078.4
93,34078.4
94,34078.4
95,34078.4
96,34078.4
97,34078.4
98,34078.4
99,34078.4
100,34078.4
101,34078.4
102,34078.4
103,34078.4
104,34078.4
105,34078.4
106,34078.4
107,34078.4
108,34078.4
109,34078.4
110,34078.4
111,34078.4
112,34078.4
113,34078.4
114,34078.4
115,34078.4
116,34078.4
117,34078.4
118,34078.4
119,34078.4
120,34078.4
121,34078.4
122,34078.4
123,34078.4
124,34078.4
125,34078.4
126,34078.4
127,34078.4
128,34078.4
129,34078.4
130,34078.4
131,34078.4
132,34078.4
