Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
10436,310,16745,5539,57443,6073,7832,1529,1050,32742,18530,454,1941,23357,12946,5675,4798,5738,9988,729,8170,16867,16906,6850,6956,8718,1414,2135,5172,1217,24174,3889,49426,11820,1492,18836,4788,2363,24796,2595,9007,1923,11709,47346,2062,219,10117,5174,2606,7240,693
10436,310,16745,5544,57572,6070,7841,1531,1050,32779,18556,454,1946,23379,12947,5675,4806,5799,10030,729,8184,16894,16912,6850,6956,8719,1414,2135,5174,1217,24181,3892,49444,11836,1492,18846,4788,2365,24774,2604,9027,1923,11713,47446,2062,219,10127,5183,2612,7240,693
10450,312,16798,5547,57740,6074,7845,1535,1051,32820,18588,454,1951,23391,12959,5683,4806,5814,10037,731,8195,16915,16932,6857,6977,8773,1419,2137,5188,1218,24242,3903,49462,11854,1494,18854,4788,2367,24817,2606,9030,1923,11747,47527,2077,220,10137,5186,2613,7240,695
10487,312,16842,5560,57937,6077,7852,1535,1053,32850,18660,457,1952,23408,12975,5689,4836,5863,10056,731,8214,16970,16949,6866,6981,8785,1431,2165,5203,1228,24292,3909,49717,11894,1495,18861,4850,2368,24857,2606,9055,1924,11792,47689,2082,222,10143,5200,2619,7263,695
10504,313,16874,5571,58375,6082,7862,1536,1053,32957,18751,458,1954,23442,12982,5708,4837,5970,10073,731,8217,17010,17003,6892,6987,8788,1435,2174,5215,1229,24330,3916,49790,11987,1497,18871,4850,2370,24898,2607,9083,1927,11796,47822,2088,223,10147,5213,2624,7267,695
10523,313,16898,5583,58605,6086,7865,1536,1055,33116,18849,459,1954,23472,13002,5716,4848,6008,10087,731,8232,17051,17023,6899,6998,8792,1435,2175,5226,1231,24358,3923,49848,12028,1498,18872,4850,2373,24932,2608,9092,1928,11816,47947,2091,224,10154,5218,2628,7271,695
10526,313,16912,5590,58795,6089,7865,1544,1056,33142,18926,462,1954,23498,13011,5718,4848,6023,10087,736,8246,17086,17047,6903,7000,8796,1436,2175,5236,1235,24382,3925,49928,12028,1498,18877,4850,2375,24960,2608,9104,1933,11816,48039,2101,224,10178,5218,2631,7274,695
10526,313,16918,5595,58948,6092,7865,1544,1056,33178,18926,462,1954,23521,13023,5725,4848,6031,10087,736,8251,17115,17047,6908,7001,8796,1436,2175,5236,1237,24389,3925,50017,12028,1498,18880,4850,2375,24971,2608,9122,1933,11816,48093,2114,225,10198,5218,2634,7274,695
10526,313,16918,5601,59030,6092,7883,1552,1059,33247,18962,462,1957,23527,13028,5729,4859,6042,10122,736,8260,17130,17056,6913,7001,8797,1436,2175,5237,1237,24404,3925,50158,12085,1498,18885,4850,2375,24991,2613,9122,1933,11866,48134,2114,225,10219,5226,2638,7277,695
10527,313,16941,5616,59128,6099,7885,1559,1061,33338,18987,462,1957,23542,13038,5729,4859,6065,10132,738,8273,17148,17108,6914,7013,8848,1437,2177,5239,1237,24486,3932,50212,12087,1498,18886,4850,2381,25029,2618,9126,1935,11894,48242,2118,225,10242,5237,2640,7292,695
10554,313,16967,5626,59274,6107,7889,1559,1064,33425,19055,463,1962,23579,13039,5743,4870,6090,10141,743,8286,17185,17119,6926,7032,8853,1437,2180,5249,1238,24561,3937,50299,12112,1498,18889,4953,2383,25074,2619,9146,1935,11904,48252,2122,227,10252,5247,2676,7315,700
10553,313,16977,5636,59411,6117,7900,1559,1066,33494,19119,463,1963,23601,13048,5751,4870,6108,10161,744,8303,17217,17174,6938,7048,8859,1438,2181,5256,1245,24591,3942,50375,12136,1498,18893,4953,2385,25111,2624,9174,1938,11915,48495,2125,227,10268,5262,2683,7326,700
10607,313,16989,5639,59614,6118,7904,1565,1069,33586,19176,463,1966,23626,13069,5754,4889,6129,10161,744,8319,17249,17194,6942,7051,8861,1454,2181,5260,1245,24615,3949,50458,12136,1498,18901,4953,2385,25135,2630,9179,1938,11915,48599,2131,228,10279,5278,2688,7336,700
10637,313,16991,5641,59654,6124,7904,1565,1070,33652,19210,467,1966,23635,13074,5822,4889,6149,10161,745,8342,17281,17259,6953,7055,8866,1465,2181,5274,1247,24632,3949,50551,12136,1498,18902,4953,2391,25166,2630,9196,1938,11915,48676,2132,229,10287,5278,2693,7341,700
10637,313,16990,5643,59720,6126,7904,1566,1070,33674,19212,467,1966,23654,13074,5822,4889,6149,10161,745,8350,17281,17259,6953,7055,8866,1466,2181,5274,1249,24637,3949,50633,12136,1498,18905,4953,2392,25173,2630,9196,1938,11915,48697,2132,229,10329,5278,2695,7340,700
10638,313,16990,5648,59799,6126,7923,1566,1072,33710,19212,467,1972,23665,13075,5822,4884,6171,10165,746,8363,17325,17282,6963,7055,8867,1466,2181,5275,1249,24649,3953,50706,12173,1497,18907,4953,2394,25180,2629,9203,1938,11929,48729,2133,229,10360,5285,2696,7341,700
10652,313,16996,5653,59887,6132,7930,1567,1074,33780,19238,467,1974,23673,13084,5835,4884,6184,10174,746,8378,17337,17343,6967,7073,8876,1477,2183,5297,1249,24700,3961,50751,12189,1499,18913,4953,2427,25217,2632,9204,1938,11967,48815,2137,229,10401,5299,2707,7349,701
10652,313,17023,5660,59993,6140,7935,1567,1076,33822,19305,467,1980,23702,13099,5836,4889,6198,10185,747,8389,17358,17373,6986,7077,8878,1489,2183,5308,1250,24749,3963,50843,12212,1499,18914,6669,2434,25269,2635,9213,1938,11976,48918,2139,230,10415,5306,2722,7356,701
10675,313,17055,5662,60129,6143,7940,1568,1077,33906,19374,470,1989,23740,13114,5843,4889,6214,10200,748,8410,17366,17450,7000,7082,8879,1494,2207,5313,1251,24783,3974,50898,12224,1499,18917,6669,2439,25312,2636,9237,1939,11997,49017,2149,230,10436,5316,2735,7370,701
10686,313,17062,5661,60286,6151,7944,1573,1079,33968,19424,470,1993,23762,13131,5849,4895,6223,10216,750,8424,17376,17479,7010,7086,8878,1521,2219,5323,1253,24826,3976,50977,12248,1501,18917,6669,2440,25358,2638,9248,1946,12001,49121,2157,231,10451,5322,2737,7375,701
10712,313,17092,5661,60384,6155,7944,1577,1081,34014,19488,471,1993,23777,13138,5857,4895,6241,10216,750,8444,17379,17563,7022,7095,8884,1523,2220,5332,1256,24859,3976,51036,12248,1502,18917,6669,2440,25390,2638,9273,1946,12001,49188,2159,231,10458,5322,2742,7379,701
10712,313,17086,5661,60452,6157,7944,1578,1081,34021,19488,471,1993,23793,13148,5857,4895,6250,10216,750,8455,17387,17563,7035,7096,8885,1523,2220,5332,1257,24870,3976,51117,12248,1502,18917,6669,2440,25393,2638,9276,1946,12001,49212,2159,231,10472,5322,2745,7380,701
10712,314,17086,5665,60495,6157,7957,1581,1084,34056,19523,471,1996,23809,13151,5857,4887,6257,10241,751,8470,17406,17576,7037,7096,8887,1524,2221,5332,1257,24896,3979,51204,12290,1502,18917,6669,2441,25397,2638,9276,1947,12015,49231,2159,233,10486,5329,2745,7383,701
10722,314,17105,5673,60547,6168,7974,1587,1085,34120,19548,471,2000,23826,13167,5857,4887,6261,10255,753,8484,17413,17657,7040,7119,8970,1526,2226,5339,1257,24945,3988,51258,12305,1504,18917,6669,2446,25451,2640,9289,1947,12022,49289,2161,233,10506,5340,2747,7394,703
10728,314,17109,5680,60717,6173,7984,1591,1088,34164,19600,473,2006,23865,13187,5857,4900,6285,10264,757,8493,17427,17694,7056,7122,8995,1526,2226,5353,1261,25006,3996,51350,12325,1505,18917,6697,2449,25502,2642,9304,1948,12032,49359,2161,237,10510,5357,2756,7402,703
