,0
0,31447.7
1,31463.5
2,31431.9
3,31455.6
4,31455.6
5,31455.6
6,31455.6
7,31455.6
8,31455.6
9,31455.6
10,31455.6
11,31455.6
12,31455.6
13,31542.5
14,31431.9
15,31416.1
16,31431.9
17,31542.5
18,31416.1
19,31392.4
20,31400.3
21,31416.1
22,31447.7
23,31645.2
24,31447.7
25,31431.9
26,31431.9
27,31400.3
28,31416.1
29,31487.2
30,31503.0
31,31455.6
32,31534.6
33,31471.4
34,31424.0
35,31447.7
36,31645.2
37,31455.6
38,31479.3
39,31392.4
40,31408.2
41,31439.8
42,31455.6
43,31479.3
44,31416.1
45,31700.5
46,47516.3
47,31495.1
48,31424.0
49,31850.6
50,31416.1
51,31431.9
52,31479.3
53,31392.4
54,31408.2
55,31416.1
56,31416.1
57,31447.7
58,31676.8
59,31463.5
60,31534.6
61,31692.6
62,31487.2
63,31455.6
64,31447.7
65,31416.1
66,31487.2
67,31431.9
68,31416.1
69,31424.0
70,31487.2
71,31495.1
72,31408.2
73,31455.6
74,31471.4
75,31676.8
76,31866.4
77,31416.1
78,31495.1
79,31455.6
80,31676.8
81,47516.3
82,31463.5
83,31463.5
84,31439.8
85,31424.0
86,31431.9
87,31455.6
88,31455.6
89,31455.6
90,31455.6
91,31455.6
92,31455.6
93,31455.6
94,31455.6
95,31455.6
96,31455.6
97,31455.6
98,31455.6
99,31455.6
100,31455.6
101,31455.6
102,31455.6
103,31455.6
104,31455.6
105,31455.6
106,31455.6
107,31455.6
108,31455.6
109,31455.6
110,31455.6
111,31455.6
112,31455.6
113,31455.6
114,31455.6
115,31455.6
116,31455.6
117,31455.6
118,31455.6
119,31455.6
120,31455.6
121,31455.6
122,31455.6
123,31455.6
124,31455.6
125,31455.6
126,31455.6
127,31455.6
128,31455.6
129,31455.6
130,31455.6
131,31455.6
132,31455.6
